alpha,beta,gamma,accuracy_mean,accuracy_std,tree_depth_mean,tree_depth_std,training_time_mean,training_time_std,composite_score
1.3,3.0,0.1,0.8907,0.0474,5.0,0.6325,0.6992,0.6486,0.860304
1.3,3.0,0.2,0.9111,0.046,5.0,0.6325,0.6373,0.58,0.8703209999999999
1.3,3.0,0.3,0.9154,0.0423,5.0,1.0954,0.6605,0.6183,0.871345
1.3,3.0,0.4,0.9284,0.041,5.6667,0.8165,0.6344,0.5893,0.8673275
1.3,3.0,0.5,0.9247,0.0363,5.8333,1.3292,0.5851,0.5399,0.8648275
1.3,3.0,0.6,0.937,0.0343,5.3333,0.8165,0.5546,0.5032,0.8781625000000001
1.3,3.0,0.7,0.9309,0.036,5.0,0.8944,0.5194,0.467,0.881778
1.3,3.5,0.1,0.9019,0.0594,5.0,0.6325,0.696,0.6332,0.8648800000000001
1.3,3.5,0.2,0.9049,0.0489,5.6667,1.5055,0.6985,0.6601,0.8560045000000001
1.3,3.5,0.3,0.9253,0.0402,5.3333,1.0328,0.6504,0.603,0.8706085000000001
1.3,3.5,0.4,0.9284,0.041,5.6667,0.8165,0.6033,0.569,0.8682605000000001
1.3,3.5,0.5,0.937,0.0343,5.3333,0.8165,0.5529,0.4996,0.8782135000000001
1.3,3.5,0.6,0.937,0.0343,5.3333,0.8165,0.5643,0.5084,0.8778715000000001
1.3,3.5,0.7,0.9278,0.039,5.1667,0.7528,0.53,0.4759,0.8777195
1.3,4.0,0.1,0.8926,0.0626,5.1667,0.7528,0.7353,0.6709,0.8574805
1.3,4.0,0.2,0.9049,0.0489,5.6667,1.5055,0.7136,0.6796,0.8555515
1.3,4.0,0.3,0.9346,0.0363,5.1667,0.7528,0.5963,0.5351,0.8784505
1.3,4.0,0.4,0.9407,0.0377,5.3333,0.5164,0.5632,0.4969,0.8793845
1.3,4.0,0.5,0.9407,0.035,5.1667,0.7528,0.5471,0.4915,0.8823665
1.3,4.0,0.6,0.9407,0.035,5.1667,0.7528,0.5447,0.4911,0.8824385
1.3,4.0,0.7,0.9278,0.039,5.1667,0.7528,0.5301,0.4735,0.8777165
1.3,4.5,0.1,0.8957,0.0583,5.1667,0.7528,0.7193,0.6672,0.8592005
1.3,4.5,0.2,0.9142,0.0505,5.5,1.3784,0.6637,0.6241,0.8632690000000001
1.3,4.5,0.3,0.9315,0.038,5.3333,0.8165,0.6164,0.558,0.8741085000000001
1.3,4.5,0.4,0.9407,0.0377,5.3333,0.5164,0.5655,0.504,0.8793154999999999
1.3,4.5,0.5,0.937,0.0343,5.3333,0.8165,0.5465,0.4947,0.8784055000000001
1.3,4.5,0.6,0.937,0.0343,5.3333,0.8165,0.5397,0.4752,0.8786095
1.3,4.5,0.7,0.9278,0.039,5.1667,0.7528,0.5224,0.4676,0.8779475
1.5,2.0,0.1,0.9056,0.0589,5.1667,0.7528,0.6639,0.6062,0.8648225
1.5,2.0,0.2,0.9154,0.0423,4.6667,0.5164,0.6198,0.5552,0.8775655
1.5,2.0,0.3,0.9154,0.0423,4.6667,0.5164,0.6266,0.574,0.8773615
1.5,2.0,0.4,0.9154,0.0423,5.8333,1.3292,0.6529,0.6007,0.8590735
1.5,2.0,0.5,0.9117,0.0363,5.5,1.3784,0.5642,0.5274,0.865254
1.5,2.0,0.6,0.9117,0.0363,5.5,1.3784,0.5692,0.5208,0.8651040000000001
1.5,2.0,0.7,0.9309,0.036,4.8333,0.9832,0.4789,0.4153,0.8854934999999999
1.5,2.5,0.1,0.9111,0.046,4.6667,0.5164,0.6652,0.6307,0.8744835
1.5,2.5,0.2,0.908,0.0469,4.6667,0.5164,0.618,0.5629,0.8746594999999999
1.5,2.5,0.3,0.9154,0.0423,4.6667,0.5164,0.6039,0.546,0.8780425000000001
1.5,2.5,0.4,0.9154,0.0423,5.3333,0.8165,0.6368,0.5849,0.8670565000000001
1.5,2.5,0.5,0.9117,0.0363,5.8333,1.472,0.6747,0.6301,0.8569395
1.5,2.5,0.6,0.9154,0.0374,5.6667,1.3663,0.5644,0.53,0.8642275
1.5,2.5,0.7,0.9123,0.0439,5.3333,1.2111,0.5468,0.4963,0.8685164999999999
1.5,3.0,0.1,0.8944,0.0501,4.8333,0.7528,0.7097,0.6541,0.8639695
1.5,3.0,0.2,0.9111,0.046,5.0,0.6325,0.6324,0.5784,0.870468
1.5,3.0,0.3,0.9154,0.0423,4.6667,0.5164,0.6217,0.5759,0.8775085
1.5,3.0,0.4,0.9154,0.0423,5.1667,0.9832,0.658,0.6105,0.8689195000000001
1.5,3.0,0.5,0.921,0.0364,5.8333,1.169,0.6018,0.5475,0.8628465000000001
1.5,3.0,0.6,0.9247,0.0363,5.8333,1.3292,0.6057,0.5728,0.8642095
1.5,3.0,0.7,0.9309,0.036,5.0,0.8944,0.5273,0.4751,0.881541
1.5,3.5,0.1,0.8907,0.0474,5.0,0.6325,0.7069,0.6441,0.860073
1.5,3.5,0.2,0.9049,0.0489,5.3333,1.3663,0.6831,0.6337,0.8614675
1.5,3.5,0.3,0.9154,0.0423,5.0,1.0954,0.6468,0.618,0.871756
1.5,3.5,0.4,0.9247,0.0414,5.1667,0.9832,0.6154,0.5855,0.8739174999999999
1.5,3.5,0.5,0.9284,0.041,5.8333,1.169,0.6081,0.5589,0.8656174999999999
1.5,3.5,0.6,0.937,0.0343,5.3333,0.8165,0.5515,0.4909,0.8782555000000001
1.5,3.5,0.7,0.9278,0.039,5.1667,0.7528,0.5327,0.4746,0.8776385
1.5,4.0,0.1,0.9093,0.0569,4.8333,0.7528,0.7168,0.6642,0.8697165
1.5,4.0,0.2,0.9123,0.0452,5.1667,1.472,0.6996,0.6591,0.8664315
1.5,4.0,0.3,0.9247,0.0414,5.0,1.0954,0.6248,0.6016,0.876136
1.5,4.0,0.4,0.9247,0.0414,5.1667,0.9832,0.6049,0.5655,0.8742325
1.5,4.0,0.5,0.937,0.0343,5.5,0.5477,0.5759,0.507,0.8750230000000001
1.5,4.0,0.6,0.937,0.0343,5.3333,0.8165,0.5484,0.4974,0.8783485
1.5,4.0,0.7,0.9278,0.039,5.1667,0.7528,0.5532,0.5011,0.8770235
1.5,4.5,0.1,0.9049,0.0543,5.0,0.6325,0.7142,0.6561,0.865534
1.5,4.5,0.2,0.9049,0.0489,5.6667,1.5055,0.7085,0.6834,0.8557045000000001
1.5,4.5,0.3,0.934,0.0379,4.8333,0.7528,0.5892,0.5287,0.8834245000000001
1.5,4.5,0.4,0.9407,0.0377,5.0,0.6325,0.5807,0.5231,0.8838590000000001
1.5,4.5,0.5,0.937,0.0343,5.5,0.5477,0.5646,0.498,0.875362
1.5,4.5,0.6,0.937,0.0343,5.3333,0.8165,0.5566,0.5084,0.8781025
1.5,4.5,0.7,0.9278,0.039,5.1667,0.7528,0.5438,0.4943,0.8773055
1.7,2.0,0.1,0.9111,0.046,4.6667,0.5164,0.6629,0.6219,0.8745525000000001
1.7,2.0,0.2,0.9191,0.0493,4.8333,0.7528,0.6193,0.5632,0.8765615
1.7,2.0,0.3,0.9154,0.0423,4.6667,0.5164,0.6138,0.5494,0.8777455000000001
1.7,2.0,0.4,0.9154,0.0423,5.8333,1.3292,0.6621,0.6249,0.8587975
1.7,2.0,0.5,0.9154,0.0423,5.5,1.2247,0.6192,0.5792,0.8650840000000001
1.7,2.0,0.6,0.9117,0.0363,5.5,1.3784,0.5823,0.5535,0.864711
1.7,2.0,0.7,0.9272,0.0368,4.8333,0.7528,0.5392,0.4922,0.8822045000000001
1.7,2.5,0.1,0.9111,0.046,4.6667,0.5164,0.6419,0.597,0.8751825
1.7,2.5,0.2,0.908,0.0469,4.6667,0.5164,0.6196,0.5572,0.8746115
1.7,2.5,0.3,0.9154,0.0423,4.6667,0.5164,0.6094,0.5613,0.8778775000000001
1.7,2.5,0.4,0.9154,0.0423,5.3333,0.8165,0.6464,0.6086,0.8667685
1.7,2.5,0.5,0.9154,0.0423,5.8333,1.3292,0.6449,0.6091,0.8593135000000001
1.7,2.5,0.6,0.9117,0.0363,5.5,1.3784,0.561,0.5243,0.8653500000000001
1.7,2.5,0.7,0.9148,0.0347,5.1667,1.169,0.5636,0.5294,0.8715115
1.7,3.0,0.1,0.8944,0.0501,4.8333,0.7528,0.6974,0.6397,0.8643384999999999
1.7,3.0,0.2,0.9111,0.046,5.0,0.6325,0.6426,0.5935,0.8701619999999999
1.7,3.0,0.3,0.9154,0.0423,4.6667,0.5164,0.6563,0.6059,0.8764705
1.7,3.0,0.4,0.9154,0.0423,4.6667,0.5164,0.62,0.5552,0.8775595
1.7,3.0,0.5,0.9154,0.0423,5.8333,1.3292,0.6354,0.5794,0.8595984999999999
1.7,3.0,0.6,0.9117,0.0363,5.8333,1.472,0.6423,0.5994,0.8579114999999999
1.7,3.0,0.7,0.9148,0.0347,5.1667,1.169,0.5622,0.5334,0.8715535
1.7,3.5,0.1,0.8944,0.0501,4.8333,0.7528,0.714,0.6584,0.8638405
1.7,3.5,0.2,0.9049,0.0489,5.3333,1.3663,0.7335,0.698,0.8599555000000001
1.7,3.5,0.3,0.9154,0.0423,4.6667,0.5164,0.6388,0.5833,0.8769955
1.7,3.5,0.4,0.9154,0.0423,5.0,1.0954,0.6281,0.5801,0.872317
1.7,3.5,0.5,0.9216,0.0403,5.6667,1.2111,0.6426,0.5888,0.8643615
1.7,3.5,0.6,0.9179,0.0348,5.6667,1.3663,0.623,0.58,0.8634695000000001
1.7,3.5,0.7,0.9241,0.0395,5.0,0.6325,0.5561,0.5045,0.8779570000000001
1.7,4.0,0.1,0.8907,0.0474,5.0,0.6325,0.72,0.6561,0.85968
1.7,4.0,0.2,0.9049,0.0489,5.3333,1.3663,0.6936,0.656,0.8611525000000001
1.7,4.0,0.3,0.9154,0.0423,4.6667,0.5164,0.6183,0.563,0.8776105000000001
1.7,4.0,0.4,0.9247,0.0414,5.0,1.0954,0.6424,0.6009,0.8756079999999999
1.7,4.0,0.5,0.934,0.0396,5.1667,0.4082,0.5963,0.5309,0.8782105
1.7,4.0,0.6,0.9377,0.0354,5.1667,0.7528,0.5883,0.53,0.8799305
1.7,4.0,0.7,0.9241,0.0395,5.0,0.6325,0.5504,0.5015,0.878128
1.7,4.5,0.1,0.9049,0.0543,5.0,0.6325,0.7129,0.6544,0.865573
1.7,4.5,0.2,0.9049,0.0489,5.3333,1.3663,0.7252,0.6846,0.8602045
1.7,4.5,0.3,0.9247,0.0414,5.0,1.0954,0.634,0.5991,0.87586
1.7,4.5,0.4,0.937,0.0396,4.6667,0.5164,0.5784,0.5111,0.8874475000000001
1.7,4.5,0.5,0.937,0.0396,5.1667,0.4082,0.6058,0.5467,0.8791255
1.7,4.5,0.6,0.9333,0.0359,5.1667,0.7528,0.5937,0.5377,0.8780085
1.7,4.5,0.7,0.9241,0.0395,5.0,0.6325,0.5475,0.4926,0.8782150000000001
2.0,2.0,0.1,0.9111,0.046,4.6667,0.5164,0.6534,0.6137,0.8748374999999999
2.0,2.0,0.2,0.9191,0.0493,4.6667,0.5164,0.6191,0.5765,0.8790665
2.0,2.0,0.3,0.9154,0.0423,4.6667,0.5164,0.6073,0.5501,0.8779405
2.0,2.0,0.4,0.9154,0.0423,5.8333,1.3292,0.6514,0.6085,0.8591185
2.0,2.0,0.5,0.9154,0.0423,5.5,1.2247,0.5875,0.5641,0.8660350000000001
2.0,2.0,0.6,0.9117,0.0363,5.3333,1.0328,0.5752,0.5514,0.8674244999999999
2.0,2.0,0.7,0.9272,0.0368,4.8333,0.7528,0.5217,0.4581,0.8827295
2.0,2.5,0.1,0.9111,0.046,4.6667,0.5164,0.6547,0.6181,0.8747985
2.0,2.5,0.2,0.908,0.0469,4.8333,0.7528,0.6259,0.5853,0.8719235000000001
2.0,2.5,0.3,0.9154,0.0423,4.6667,0.5164,0.6173,0.5649,0.8776405
2.0,2.5,0.4,0.9154,0.0423,5.1667,0.9832,0.669,0.6341,0.8685895
2.0,2.5,0.5,0.9154,0.0423,5.8333,1.3292,0.6718,0.6406,0.8585065000000001
2.0,2.5,0.6,0.9117,0.0363,5.3333,1.0328,0.5789,0.5502,0.8673134999999998
2.0,2.5,0.7,0.9148,0.0347,5.1667,1.169,0.5742,0.5568,0.8711935
2.0,3.0,0.1,0.8944,0.0501,4.8333,0.7528,0.732,0.6753,0.8633004999999999
2.0,3.0,0.2,0.9111,0.046,5.0,0.6325,0.6447,0.5966,0.870099
2.0,3.0,0.3,0.9154,0.0423,4.6667,0.5164,0.6272,0.5737,0.8773435
2.0,3.0,0.4,0.9154,0.0423,4.6667,0.5164,0.614,0.5635,0.8777395000000001
2.0,3.0,0.5,0.9154,0.0423,5.8333,1.3292,0.6444,0.5942,0.8593284999999999
2.0,3.0,0.6,0.9117,0.0363,5.6667,1.2111,0.6365,0.586,0.8605845000000001
2.0,3.0,0.7,0.9117,0.0363,5.3333,1.0328,0.5966,0.5635,0.8667824999999999
2.0,3.5,0.1,0.8944,0.0501,4.8333,0.7528,0.7034,0.6517,0.8641584999999999
2.0,3.5,0.2,0.9111,0.046,5.0,0.6325,0.6633,0.6262,0.8695409999999999
2.0,3.5,0.3,0.9154,0.0423,4.6667,0.5164,0.652,0.5956,0.8765995
2.0,3.5,0.4,0.9154,0.0423,4.6667,0.5164,0.6262,0.5659,0.8773735
2.0,3.5,0.5,0.9154,0.0423,5.8333,1.3292,0.6778,0.6318,0.8583265
2.0,3.5,0.6,0.9179,0.0348,5.6667,1.3663,0.6326,0.6038,0.8631815
2.0,3.5,0.7,0.9241,0.0395,5.0,0.6325,0.535,0.4849,0.87859
2.0,4.0,0.1,0.9019,0.0484,4.6667,0.8165,0.7525,0.6963,0.8681844999999999
2.0,4.0,0.2,0.9049,0.0489,5.3333,1.3663,0.6755,0.6447,0.8616955000000002
2.0,4.0,0.3,0.9154,0.0423,4.6667,0.5164,0.6248,0.5695,0.8774155000000001
2.0,4.0,0.4,0.9154,0.0423,4.8333,1.169,0.6352,0.6006,0.8746045
2.0,4.0,0.5,0.934,0.0396,5.1667,0.4082,0.581,0.5125,0.8786695
2.0,4.0,0.6,0.9377,0.0354,5.1667,0.7528,0.5749,0.5167,0.8803325
2.0,4.0,0.7,0.9241,0.0395,5.0,0.6325,0.5524,0.5078,0.8780680000000001
2.0,4.5,0.1,0.8938,0.0417,5.0,0.6325,0.7339,0.6836,0.860503
2.0,4.5,0.2,0.9049,0.0489,5.3333,1.3663,0.6685,0.6295,0.8619055000000001
2.0,4.5,0.3,0.9247,0.0414,4.6667,0.5164,0.6135,0.569,0.8814744999999999
2.0,4.5,0.4,0.937,0.0396,4.6667,0.5164,0.5517,0.4844,0.8882485
2.0,4.5,0.5,0.934,0.0396,5.1667,0.4082,0.5979,0.5386,0.8781625
2.0,4.5,0.6,0.9302,0.0356,5.1667,0.7528,0.5874,0.529,0.8769575000000001
2.0,4.5,0.7,0.9241,0.0395,5.0,0.6325,0.526,0.4658,0.87886
