metric1,metric2,rank_difference,critical_difference,significant
gini,shannon,0.28571428571428825,17.214591234132712,False
gini,misclassification,2.4285714285714306,17.214591234132712,False
gini,renyi_0.5,0.42857142857142705,17.214591234132712,False
gini,renyi_2.0,13.214285714285715,17.214591234132712,False
gini,tsallis_0.5,0.2857142857142847,17.214591234132712,False
gini,tsallis_1.3,10.071428571428573,17.214591234132712,False
gini,tsallis_2.0,12.000000000000002,17.214591234132712,False
gini,norm_tsallis_1.3,9.428571428571429,17.214591234132712,False
gini,kumaraswamy,0.0,17.214591234132712,False
gini,cross_entropy,0.0,17.214591234132712,False
gini,kl_divergence,9.000000000000002,17.214591234132712,False
gini,js_divergence,10.000000000000002,17.214591234132712,False
gini,hellinger,11.500000000000002,17.214591234132712,False
gini,energy,3.7142857142857153,17.214591234132712,False
gini,polarization_3.5,16.5,17.214591234132712,False
gini,bregman_squared,7.500000000000002,17.214591234132712,False
gini,bregman_entropy,14.5,17.214591234132712,False
gini,itc,14.214285714285715,17.214591234132712,False
gini,itc_alpha1.3,17.857142857142858,17.214591234132712,True
gini,itc_alpha1.7,13.071428571428573,17.214591234132712,False
gini,shannon_polarization,13.214285714285715,17.214591234132712,False
gini,tsallis_hellinger,11.142857142857144,17.214591234132712,False
shannon,misclassification,2.1428571428571423,17.214591234132712,False
shannon,renyi_0.5,0.7142857142857153,17.214591234132712,False
shannon,renyi_2.0,12.928571428571427,17.214591234132712,False
shannon,tsallis_0.5,0.571428571428573,17.214591234132712,False
shannon,tsallis_1.3,9.785714285714285,17.214591234132712,False
shannon,tsallis_2.0,11.714285714285714,17.214591234132712,False
shannon,norm_tsallis_1.3,9.14285714285714,17.214591234132712,False
shannon,kumaraswamy,0.28571428571428825,17.214591234132712,False
shannon,cross_entropy,0.28571428571428825,17.214591234132712,False
shannon,kl_divergence,8.714285714285714,17.214591234132712,False
shannon,js_divergence,9.714285714285714,17.214591234132712,False
shannon,hellinger,11.214285714285714,17.214591234132712,False
shannon,energy,3.428571428571427,17.214591234132712,False
shannon,polarization_3.5,16.21428571428571,17.214591234132712,False
shannon,bregman_squared,7.2142857142857135,17.214591234132712,False
shannon,bregman_entropy,14.214285714285712,17.214591234132712,False
shannon,itc,13.928571428571427,17.214591234132712,False
shannon,itc_alpha1.3,17.57142857142857,17.214591234132712,True
shannon,itc_alpha1.7,12.785714285714285,17.214591234132712,False
shannon,shannon_polarization,12.928571428571427,17.214591234132712,False
shannon,tsallis_hellinger,10.857142857142856,17.214591234132712,False
misclassification,renyi_0.5,2.8571428571428577,17.214591234132712,False
misclassification,renyi_2.0,10.785714285714285,17.214591234132712,False
misclassification,tsallis_0.5,2.7142857142857153,17.214591234132712,False
misclassification,tsallis_1.3,7.642857142857142,17.214591234132712,False
misclassification,tsallis_2.0,9.571428571428571,17.214591234132712,False
misclassification,norm_tsallis_1.3,6.999999999999998,17.214591234132712,False
misclassification,kumaraswamy,2.4285714285714306,17.214591234132712,False
misclassification,cross_entropy,2.4285714285714306,17.214591234132712,False
misclassification,kl_divergence,6.571428571428571,17.214591234132712,False
misclassification,js_divergence,7.571428571428571,17.214591234132712,False
misclassification,hellinger,9.071428571428571,17.214591234132712,False
misclassification,energy,1.2857142857142847,17.214591234132712,False
misclassification,polarization_3.5,14.07142857142857,17.214591234132712,False
misclassification,bregman_squared,5.071428571428571,17.214591234132712,False
misclassification,bregman_entropy,12.07142857142857,17.214591234132712,False
misclassification,itc,11.785714285714285,17.214591234132712,False
misclassification,itc_alpha1.3,15.428571428571427,17.214591234132712,False
misclassification,itc_alpha1.7,10.642857142857142,17.214591234132712,False
misclassification,shannon_polarization,10.785714285714285,17.214591234132712,False
misclassification,tsallis_hellinger,8.714285714285714,17.214591234132712,False
renyi_0.5,renyi_2.0,13.642857142857142,17.214591234132712,False
renyi_0.5,tsallis_0.5,0.14285714285714235,17.214591234132712,False
renyi_0.5,tsallis_1.3,10.5,17.214591234132712,False
renyi_0.5,tsallis_2.0,12.428571428571429,17.214591234132712,False
renyi_0.5,norm_tsallis_1.3,9.857142857142856,17.214591234132712,False
renyi_0.5,kumaraswamy,0.42857142857142705,17.214591234132712,False
renyi_0.5,cross_entropy,0.42857142857142705,17.214591234132712,False
renyi_0.5,kl_divergence,9.428571428571429,17.214591234132712,False
renyi_0.5,js_divergence,10.428571428571429,17.214591234132712,False
renyi_0.5,hellinger,11.928571428571429,17.214591234132712,False
renyi_0.5,energy,4.142857142857142,17.214591234132712,False
renyi_0.5,polarization_3.5,16.928571428571427,17.214591234132712,False
renyi_0.5,bregman_squared,7.928571428571429,17.214591234132712,False
renyi_0.5,bregman_entropy,14.928571428571427,17.214591234132712,False
renyi_0.5,itc,14.642857142857142,17.214591234132712,False
renyi_0.5,itc_alpha1.3,18.285714285714285,17.214591234132712,True
renyi_0.5,itc_alpha1.7,13.5,17.214591234132712,False
renyi_0.5,shannon_polarization,13.642857142857142,17.214591234132712,False
renyi_0.5,tsallis_hellinger,11.571428571428571,17.214591234132712,False
renyi_2.0,tsallis_0.5,13.5,17.214591234132712,False
renyi_2.0,tsallis_1.3,3.1428571428571423,17.214591234132712,False
renyi_2.0,tsallis_2.0,1.2142857142857135,17.214591234132712,False
renyi_2.0,norm_tsallis_1.3,3.7857142857142865,17.214591234132712,False
renyi_2.0,kumaraswamy,13.214285714285715,17.214591234132712,False
renyi_2.0,cross_entropy,13.214285714285715,17.214591234132712,False
renyi_2.0,kl_divergence,4.2142857142857135,17.214591234132712,False
renyi_2.0,js_divergence,3.2142857142857135,17.214591234132712,False
