dataset,metric,accuracy_mean,improvement_vs_gini,depth_reduction_vs_gini,category
iris,shannon,0.9244444444444445,0.970873786407761,-8.333333333333341,reference
iris,tsallis_1.3,0.9200000000000002,0.48543689320388655,-4.1666666666666705,reference
iris,js_divergence,0.3333333333333333,-63.59223300970876,100.0,reference
iris,itc,0.9200000000000002,0.48543689320388655,8.333333333333323,hybrid
iris,itc_alpha1.3,0.9244444444444445,0.970873786407761,4.1666666666666705,hybrid
iris,itc_alpha1.7,0.9200000000000002,0.48543689320388655,8.333333333333323,hybrid
iris,shannon_polarization,0.9200000000000002,0.48543689320388655,-8.333333333333341,hybrid
iris,tsallis_hellinger,0.9155555555555555,-2.4252444712685457e-14,4.1666666666666705,hybrid
wine,shannon,0.9111111111111111,-1.2048192771084294,5.263157894736835,reference
wine,tsallis_1.3,0.9222222222222222,0.0,0.0,reference
wine,js_divergence,0.40740740740740744,-55.82329317269076,68.42105263157893,reference
wine,itc,0.8629629629629629,-6.425702811244978,-36.842105263157904,hybrid
wine,itc_alpha1.3,0.8703703703703705,-5.622489959839342,-42.105263157894754,hybrid
wine,itc_alpha1.7,0.8629629629629629,-6.425702811244978,-26.31578947368421,hybrid
wine,shannon_polarization,0.9259259259259259,0.4016064257028179,-36.842105263157904,hybrid
wine,tsallis_hellinger,0.9222222222222222,0.0,-5.263157894736848,hybrid
breast_cancer,shannon,0.9391812865497075,1.2610340479192697,2.85714285714286,reference
breast_cancer,tsallis_1.3,0.9216374269005849,-0.6305170239596408,20.000000000000004,reference
breast_cancer,js_divergence,0.6257309941520468,-32.53467843631778,97.14285714285714,reference
breast_cancer,itc,0.9473684210526316,2.1437578814627978,-25.714285714285722,hybrid
breast_cancer,itc_alpha1.3,0.9508771929824562,2.5220680958385873,-28.57142857142857,hybrid
breast_cancer,itc_alpha1.7,0.9438596491228071,1.7654476670870087,-37.14285714285714,hybrid
breast_cancer,shannon_polarization,0.9415204678362572,1.513240857503133,-2.85714285714286,hybrid
breast_cancer,tsallis_hellinger,0.9216374269005847,-0.6305170239596648,20.000000000000004,hybrid
digits,shannon,0.8466666666666667,-0.6518904823989546,30.43478260869566,reference
digits,tsallis_1.3,0.8459259259259259,-0.7388092133854914,18.840579710144937,reference
digits,js_divergence,0.10185185185185183,-88.04867448935245,100.0,reference
digits,itc,0.8218518518518518,-3.563667970447633,15.942028985507253,hybrid
digits,itc_alpha1.3,0.837037037037037,-1.7818339852238165,15.942028985507253,hybrid
digits,itc_alpha1.7,0.8322222222222223,-2.346805736636234,14.492753623188406,hybrid
digits,shannon_polarization,0.8437037037037038,-0.99956540634505,26.08695652173914,hybrid
digits,tsallis_hellinger,0.8437037037037036,-0.999565406345076,26.08695652173914,hybrid
