dataset,metric,alpha,beta,gamma,run,accuracy,tree_depth,tree_size,training_time
iris,itc_alpha1.0_beta3.0_gamma0.1,1.0,3.0,0.1,2,0.9555555555555556,4,11,0.10558342933654785
iris,itc_alpha1.0_beta3.0_gamma0.2,1.0,3.0,0.2,0,0.8888888888888888,7,15,0.11268234252929688
iris,itc_alpha1.0_beta3.0_gamma0.2,1.0,3.0,0.2,1,0.9777777777777777,5,15,0.141157865524292
iris,itc_alpha1.0_beta3.0_gamma0.2,1.0,3.0,0.2,2,0.9555555555555556,4,11,0.10522198677062988
iris,itc_alpha1.0_beta3.0_gamma0.3,1.0,3.0,0.3,0,0.9333333333333333,6,15,0.10980749130249023
iris,itc_alpha1.0_beta3.0_gamma0.3,1.0,3.0,0.3,1,0.9777777777777777,5,15,0.12752652168273926
iris,itc_alpha1.0_beta3.0_gamma0.3,1.0,3.0,0.3,2,0.9555555555555556,5,15,0.1068727970123291
iris,itc_alpha1.0_beta3.0_gamma0.4,1.0,3.0,0.4,0,0.9333333333333333,6,15,0.09777116775512695
iris,itc_alpha1.0_beta3.0_gamma0.4,1.0,3.0,0.4,1,0.9555555555555556,6,19,0.12431049346923828
iris,itc_alpha1.0_beta3.0_gamma0.4,1.0,3.0,0.4,2,0.9555555555555556,4,13,0.09203720092773438
iris,itc_alpha1.0_beta3.0_gamma0.5,1.0,3.0,0.5,0,0.9333333333333333,6,15,0.09501290321350098
iris,itc_alpha1.0_beta3.0_gamma0.5,1.0,3.0,0.5,1,0.9555555555555556,6,19,0.1278848648071289
iris,itc_alpha1.0_beta3.0_gamma0.5,1.0,3.0,0.5,2,0.9555555555555556,4,13,0.09230637550354004
iris,itc_alpha1.0_beta3.0_gamma0.6,1.0,3.0,0.6,0,0.9333333333333333,6,15,0.09421825408935547
iris,itc_alpha1.0_beta3.0_gamma0.6,1.0,3.0,0.6,1,0.9777777777777777,6,17,0.11689209938049316
iris,itc_alpha1.0_beta3.0_gamma0.6,1.0,3.0,0.6,2,0.9555555555555556,4,13,0.09156060218811035
iris,itc_alpha1.0_beta3.0_gamma0.7,1.0,3.0,0.7,0,0.9333333333333333,6,15,0.11005187034606934
iris,itc_alpha1.0_beta3.0_gamma0.7,1.0,3.0,0.7,1,0.9777777777777777,6,17,0.12170886993408203
iris,itc_alpha1.0_beta3.0_gamma0.7,1.0,3.0,0.7,2,0.9555555555555556,4,13,0.0918734073638916
iris,itc_alpha1.0_beta3.5_gamma0.1,1.0,3.5,0.1,0,0.9333333333333333,6,13,0.10022950172424316
iris,itc_alpha1.0_beta3.5_gamma0.1,1.0,3.5,0.1,1,0.9777777777777777,5,15,0.12584304809570312
iris,itc_alpha1.0_beta3.5_gamma0.1,1.0,3.5,0.1,2,0.9555555555555556,4,11,0.10607028007507324
iris,itc_alpha1.0_beta3.5_gamma0.2,1.0,3.5,0.2,0,0.8888888888888888,6,15,0.09850072860717773
iris,itc_alpha1.0_beta3.5_gamma0.2,1.0,3.5,0.2,1,0.9777777777777777,5,15,0.12606167793273926
iris,itc_alpha1.0_beta3.5_gamma0.2,1.0,3.5,0.2,2,0.9555555555555556,4,11,0.1053614616394043
iris,itc_alpha1.0_beta3.5_gamma0.3,1.0,3.5,0.3,0,0.9333333333333333,6,15,0.09537887573242188
iris,itc_alpha1.0_beta3.5_gamma0.3,1.0,3.5,0.3,1,0.9777777777777777,5,15,0.12322163581848145
iris,itc_alpha1.0_beta3.5_gamma0.3,1.0,3.5,0.3,2,0.9555555555555556,5,15,0.10744929313659668
iris,itc_alpha1.0_beta3.5_gamma0.4,1.0,3.5,0.4,0,0.9333333333333333,6,15,0.09755897521972656
iris,itc_alpha1.0_beta3.5_gamma0.4,1.0,3.5,0.4,1,0.9555555555555556,6,19,0.1286029815673828
iris,itc_alpha1.0_beta3.5_gamma0.4,1.0,3.5,0.4,2,0.9555555555555556,4,13,0.09925413131713867
iris,itc_alpha1.0_beta3.5_gamma0.5,1.0,3.5,0.5,0,0.9333333333333333,6,15,0.09470272064208984
iris,itc_alpha1.0_beta3.5_gamma0.5,1.0,3.5,0.5,1,0.9555555555555556,6,19,0.12490391731262207
iris,itc_alpha1.0_beta3.5_gamma0.5,1.0,3.5,0.5,2,0.9555555555555556,4,13,0.09272360801696777
iris,itc_alpha1.0_beta3.5_gamma0.6,1.0,3.5,0.6,0,0.9333333333333333,6,15,0.11443233489990234
iris,itc_alpha1.0_beta3.5_gamma0.6,1.0,3.5,0.6,1,0.9777777777777777,6,17,0.11575102806091309
iris,itc_alpha1.0_beta3.5_gamma0.6,1.0,3.5,0.6,2,0.9555555555555556,4,13,0.09161996841430664
iris,itc_alpha1.0_beta3.5_gamma0.7,1.0,3.5,0.7,0,0.9333333333333333,6,15,0.09989190101623535
iris,itc_alpha1.0_beta3.5_gamma0.7,1.0,3.5,0.7,1,0.9777777777777777,6,17,0.11546134948730469
iris,itc_alpha1.0_beta3.5_gamma0.7,1.0,3.5,0.7,2,0.9555555555555556,4,13,0.09143733978271484
iris,itc_alpha1.0_beta4.0_gamma0.1,1.0,4.0,0.1,0,0.9333333333333333,6,13,0.09877705574035645
iris,itc_alpha1.0_beta4.0_gamma0.1,1.0,4.0,0.1,1,0.9777777777777777,5,15,0.12440252304077148
