dataset,metric,run,accuracy,log_loss,tree_depth,tree_size,training_time,n_features,n_classes,n_samples
iris,gini,0,0.9111111111111111,3.2038803012548582,5,15,0.0671091079711914,4,3,150
iris,shannon,0,0.9333333333333333,2.4029102259411435,6,15,0.06427288055419922,4,3,150
iris,misclassification,0,0.9111111111111111,3.2038803012548582,4,13,0.06649470329284668,4,3,150
iris,renyi_0.5,0,0.9555555555555556,1.6019401506274291,8,17,0.06744265556335449,4,3,150
iris,renyi_2.0,0,0.9111111111111111,3.2038803012548582,5,15,0.08662056922912598,4,3,150
iris,tsallis_0.5,0,0.9555555555555556,1.6019401506274291,8,17,0.06580305099487305,4,3,150
iris,tsallis_1.3,0,0.9333333333333333,2.4029102259411435,6,15,0.08460736274719238,4,3,150
iris,tsallis_2.0,0,0.9111111111111111,3.2038803012548582,5,15,0.07027339935302734,4,3,150
iris,norm_tsallis_1.3,0,0.9333333333333333,2.4029102259411435,6,15,0.0731508731842041,4,3,150
iris,kumaraswamy,0,0.9111111111111111,3.2038803012548582,4,11,0.06518292427062988,4,3,150
iris,cross_entropy,0,0.5777777777777777,15.218431430960575,1,3,0.05787086486816406,4,3,150
iris,kl_divergence,0,0.3333333333333333,24.02910225941144,0,1,0.00060272216796875,4,3,150
iris,js_divergence,0,0.3333333333333333,24.02910225941144,0,1,0.0005879402160644531,4,3,150
iris,hellinger,0,0.3333333333333333,24.02910225941144,0,1,0.0006327629089355469,4,3,150
iris,energy,0,0.3333333333333333,24.02910225941144,0,1,0.0005462169647216797,4,3,150
iris,polarization_3.5,0,0.6666666666666666,12.014551129705719,1,3,0.04813981056213379,4,3,150
iris,bregman_squared,0,0.3333333333333333,24.02910225941144,0,1,0.0009236335754394531,4,3,150
iris,bregman_entropy,0,0.3333333333333333,24.02910225941144,0,1,0.0007021427154541016,4,3,150
iris,itc,0,0.9111111111111111,3.2038803012548582,5,15,0.12022948265075684,4,3,150
iris,itc_alpha1.3,0,0.9333333333333333,2.4029102259411435,6,15,0.11150574684143066,4,3,150
iris,itc_alpha1.7,0,0.9111111111111111,3.2038803012548582,5,15,0.10593771934509277,4,3,150
iris,shannon_polarization,0,0.9333333333333333,2.4029102259411435,6,15,0.10152792930603027,4,3,150
iris,tsallis_hellinger,0,0.9111111111111111,3.2038803012548582,5,15,0.1594080924987793,4,3,150
iris,gini,1,0.9555555555555556,1.6019401506274291,6,19,0.07271599769592285,4,3,150
iris,shannon,1,0.9777777777777777,0.8009700753137147,6,17,0.07608461380004883,4,3,150
iris,misclassification,1,1.0,2.2204460492503136e-16,4,13,0.06396102905273438,4,3,150
iris,renyi_0.5,1,0.9777777777777777,0.8009700753137147,6,17,0.07590723037719727,4,3,150
iris,renyi_2.0,1,0.9555555555555556,1.6019401506274291,6,19,0.10091567039489746,4,3,150
iris,tsallis_0.5,1,0.9777777777777777,0.8009700753137147,6,17,0.07372283935546875,4,3,150
iris,tsallis_1.3,1,0.9555555555555556,1.6019401506274291,6,19,0.09487605094909668,4,3,150
iris,tsallis_2.0,1,0.9555555555555556,1.6019401506274291,6,19,0.08401250839233398,4,3,150
iris,norm_tsallis_1.3,1,0.9555555555555556,1.6019401506274291,6,19,0.10597491264343262,4,3,150
iris,kumaraswamy,1,1.0,2.2204460492503136e-16,4,9,0.06926584243774414,4,3,150
iris,cross_entropy,1,0.5777777777777777,15.218431430960575,1,3,0.05524301528930664,4,3,150
iris,kl_divergence,1,0.3333333333333333,24.029102259411438,0,1,0.0004742145538330078,4,3,150
iris,js_divergence,1,0.3333333333333333,24.029102259411438,0,1,0.0004956722259521484,4,3,150
iris,hellinger,1,0.3333333333333333,24.029102259411438,0,1,0.0004699230194091797,4,3,150
iris,energy,1,0.3333333333333333,24.029102259411438,0,1,0.00047707557678222656,4,3,150
iris,polarization_3.5,1,0.6666666666666666,12.014551129705719,2,5,0.062084197998046875,4,3,150
iris,bregman_squared,1,0.3333333333333333,24.029102259411438,0,1,0.0008983612060546875,4,3,150
iris,bregman_entropy,1,0.3333333333333333,24.029102259411438,0,1,0.0006668567657470703,4,3,150
iris,itc,1,0.9777777777777777,0.8009700753137147,5,15,0.13826203346252441,4,3,150
iris,itc_alpha1.3,1,0.9777777777777777,0.8009700753137147,5,15,0.13028740882873535,4,3,150
iris,itc_alpha1.7,1,0.9777777777777777,0.8009700753137147,5,15,0.12815451622009277,4,3,150
iris,shannon_polarization,1,0.9555555555555556,1.6019401506274291,6,19,0.13324832916259766,4,3,150
iris,tsallis_hellinger,1,0.9777777777777777,0.8009700753137147,5,15,0.18372797966003418,4,3,150
iris,gini,2,0.9555555555555556,1.6019401506274291,4,13,0.05713152885437012,4,3,150
iris,shannon,2,0.9555555555555556,1.6019401506274291,4,13,0.06137275695800781,4,3,150
iris,misclassification,2,0.9555555555555556,1.6019401506274291,4,13,0.06787467002868652,4,3,150
iris,renyi_0.5,2,0.9555555555555556,1.6019401506274291,9,19,0.08160901069641113,4,3,150
iris,renyi_2.0,2,0.9555555555555556,1.6019401506274291,4,13,0.08674049377441406,4,3,150
iris,tsallis_0.5,2,0.9555555555555556,1.6019401506274291,9,19,0.06696844100952148,4,3,150
iris,tsallis_1.3,2,0.9555555555555556,1.6019401506274291,4,13,0.07831430435180664,4,3,150
iris,tsallis_2.0,2,0.9555555555555556,1.6019401506274291,4,13,0.07543325424194336,4,3,150
iris,norm_tsallis_1.3,2,0.9555555555555556,1.6019401506274291,4,13,0.07783198356628418,4,3,150
iris,kumaraswamy,2,0.9555555555555556,1.6019401506274291,3,7,0.06598472595214844,4,3,150
